연도,학제,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소,우편번호,전화번호,팩스번호,홈페이지,입학정원,지원자,입학자
2017,전문대학원,강원대학교 법무전문대학원,기존,본교,강원,강원 춘천시,국립,주간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-6510,033-241-6503,www.kangwonlaw.ac.kr/, - , - , - 
2017,전문대학원,강원대학교 방재전문대학원,기존,제2캠퍼스,강원,강원 삼척시,국립,주간,"강원도 삼척시 중앙로 346 (교동, 강원대학교삼척캠퍼스)",25913,033-570-6468,033-570-6469,college.kangwon.ac.kr/prevention/main.jsp,25 ,28 ,24 
2017,특수대학원,강원대학교 녹색생명산업정책대학원,기존,본교,강원,강원 춘천시,국립,야간,"강원도 춘천시 강원대학길 1 (효자동, 강원대학교)",24341,033-250-8603,033-259-5570,glip.kangwon.ac.kr/,30 ,18 ,17 
2017,대학교,경북대학교,기존,본교,대구,대구 북구,국립,주간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5114        ,,www.knu.ac.kr,4563 ,52882 ,5030 
2017,일반대학원,경북대학교 일반대학원,기존,본교,대구,대구 북구,국립,주간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-6003        ,,http://grad.knu.ac.kr,1716 ,2655 ,1710 
2017,특수대학원,경북대학교 경영대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5403        ,053-950-5405        ,http://cec.knu.ac.kr/main01.asp,120 ,164 ,115 
2017,특수대학원,경북대학교 교육대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-6124        ,053-950-6801        ,http://gse.knu.ac.kr,325 ,589 ,244 
2017,특수대학원,경북대학교 국제대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5103     ,053-950-6101        ,http://gsis.knu.ac.kr,30 ,78 ,46 
2017,특수대학원,경북대학교 보건대학원,기존,본교,대구,대구 중구,국립,야간,"대구광역시 중구 국채보상로 680 (동인동2가, 경북대학교의과대학)",41944,053-420-4872,053-421-1695,http://health.knu.ac.kr,40 ,87 ,40 
2017,특수대학원,경북대학교 산업대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-6143        ,053-958-5054        ,http://ind.knu.ac.kr,86 ,85 ,56 
2017,특수대학원,경북대학교 정책정보대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5203        ,053-950-5205        ,http://social.knu.ac.kr/HOME/coss/sub.htm?nav_code=cos1466989409,60 ,109 ,64 
2017,특수대학원,경북대학교 행정대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-6128,053-950-5454        ,http://webbuild.knu.ac.kr/~gspa,70 ,79 ,54 
2017,특수대학원,경북대학교 과학기술대학원,기존,본교,경북,경북 상주시,국립,야간,"경상북도 상주시 경상대로 2559 (가장동, 경북대학교상주캠퍼스)",37224,054-530-1502,054-530-1590 ,http://seoksa.knu.ac.kr,59 ,54 ,40 
2017,전문대학원,경북대학교 법학전문대학원,기존,본교,대구,대구 북구,국립,주간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5456,053-950-5455        ,http://lawschool.knu.ac.kr,130 ,521 ,138 
2017,특수대학원,경북대학교 수사과학대학원,기존,본교,대구,대구 중구,국립,야간,"대구광역시 중구 국채보상로 680 (동인동2가, 경북대학교의과대학)",41944,053-420-4886        ,053-422-4712       ,http://www.knu.ac.kr/,30 ,99 ,33 
2017,전문대학원,경북대학교 의학전문대학원,기존,본교,대구,대구 중구,국립,주간,"대구광역시 중구 국채보상로 680 (동인동2가, 경북대학교의과대학)",41944,053-420-4910   ,053-422-9195,http://med.knu.ac.kr, - , - , - 
2017,전문대학원,경북대학교 치의학전문대학원,기존,본교,대구,대구 중구,국립,주간,"대구광역시 중구 달구벌대로 2177 (삼덕동2가, 경북대학교치의학전문대학원)",41940,053-660-6804,053-425-6025        ,http://dent.knu.ac.kr, - , - , - 
2017,특수대학원,경북대학교 농업생명융합대학원,기존,본교,대구,대구 북구,국립,야간,"대구광역시 북구 대학로 80 (산격동, 경북대학교)",41566,053-950-5704        ,053-950-6701      ,http://www.knu.ac.kr,30 ,36 ,27 
2017,대학교,경상대학교,기존,본교,경남,경남 진주시,국립,주간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-0114        ,055-772-0359        ,www.gnu.ac.kr,3009 ,23493 ,3239 
2017,일반대학원,경상대학교 대학원,기존,본교,경남,경남 진주시,국립,주간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-0087       ,055-772-0089        ,graduate.gnu.ac.kr,705 ,931 ,728 
2017,특수대학원,경상대학교 경영대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1504        ,055-772-1505        ,bizone.gnu.ac.kr,60 ,84 ,37 
2017,특수대학원,경상대학교 교육대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-2015        ,055-772-2119        ,gradedu.gnu.ac.kr,215 ,271 ,169 
2017,특수대학원,경상대학교 보건대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로816번길 15 (주약동, 경상대학교간호대학)",52727,055-772-8208        ,055-772-8209        ,health.gnu.ac.kr,20 ,25 ,21 
2017,특수대학원,경상대학교 행정대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1204  ,055-772-1219        ,padm.gnu.ac.kr,46 ,71 ,48 
2017,전문대학원,경상대학교 의학전문대학원,폐교,본교,경남,경남 진주시,국립,주간,"경상남도 진주시 진주대로816번길 15 (주약동, 경상대학교의학전문대학원)",52727,055-772-8008,055-772-8013        ,medicine.gnu.ac.kr, - , - , - 
2017,특수대학원,경상대학교 융합과학기술대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1608        ,055-772-1619        ,sanup.gnu.ac.kr,56 ,53 ,46 
2017,특수대학원,경상대학교 항공우주특성화대학원,기존,본교,경남,경남 진주시,국립,주야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1608        ,055-772-1619        ,sgsae.gnu.ac.kr/main/,28 ,35 ,29 
2017,특수대학원,경상대학교 토지주택대학원,기존,본교,경남,경남 진주시,국립,야간,"경상남도 진주시 진주대로 501 (가좌동, 경상대학교)",52828,055-772-1608,055-772-1619,lh.gnu.ac.kr,25 ,9 ,9 
2017,대학교,공주대학교,기존,본교,충남,충남 공주시,국립,주간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8114        ,041-850-0880   ,www.kongju.ac.kr,2730 ,23788 ,3164 
2017,일반대학원,공주대학교대학원,기존,본교,충남,충남 공주시,국립,주간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8114        ,041-850-8410        ,host.kongju.ac.kr/graduate/main/,645 ,904 ,618 
2017,특수대학원,공주대학교경영행정대학원,기존,본교,충남,충남 공주시,국립,야간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8352        ,041-850-8355        ,gbpa.kongju.ac.kr/main/main.php,43 ,47 ,38 
2017,특수대학원,공주대학교교육대학원,기존,본교,충남,충남 공주시,국립,야간+계절제,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8159        ,041-850-8165        ,www.kongju.ac.kr,242 ,487 ,251 
2017,특수대학원,공주대학교산업과학대학원,기존,본교,충남,충남 예산군,국립,야간,"충청남도 예산군 예산읍 대학로 54 (대회리, 공주대학교산업과학대학)",32439,041-330-1151        ,041-330-1035        ,www.kongju.ac.kr,34 ,28 ,21 
2017,특수대학원,공주대학교특수교육대학원,기존,본교,충남,충남 공주시,국립,야간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8409        ,041-850-8410        ,www.kongju.ac.kr,60 ,107 ,60 
2017,특수대학원,공주대학교 안보과학대학원,기존,본교,충남,충남 공주시,국립,야간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8166        ,041-850-8410        ,,40 ,37 ,29 
2017,특수대학원,공주대학교 문화유산대학원,기존,본교,충남,충남 공주시,국립,야간,"충청남도 공주시 공주대학로 56 (신관동, 공주대학교)",32588,041-850-8133        ,041-850-8410        ,,26 ,38 ,26 
2017,특수대학원,공주대학교 테크노융합대학원,기존,본교,충남,충남 천안시,국립,야간,"충청남도 천안시 서북구 천안대로 1223-24 (부대동, 공주대학교천안공과대학)",31080,041-521-9077,041-521-9079,technology.kongju.ac.kr,29 ,29 ,29 
2017,대학교,군산대학교,기존,본교,전북,전북 군산시,국립,주간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4113        ,,http://kunsan.ac.kr,1735 ,8741 ,1833 
2017,일반대학원,군산대학교대학원,기존,본교,전북,전북 군산시,국립,주간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4171        ,,kunsan.ac.kr,218 ,306 ,281 
2017,특수대학원,군산대학교경영행정대학원,기존,본교,전북,전북 군산시,국립,야간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4447        ,063-466-2084        ,http://kunsan.ac.kr,30 ,16 ,12 
2017,특수대학원,군산대학교교육대학원,기존,본교,전북,전북 군산시,국립,야간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4306        ,063-466-2083        ,http://kunsan.ac.kr,162 ,98 ,63 
2017,특수대학원,군산대학교산업대학원,기존,본교,전북,전북 군산시,국립,야간,"전라북도 군산시 대학로 558 (미룡동, 군산대학교)",54150,063-469-4675        ,,http://kunsan.ac.kr,50 ,25 ,21 
2017,대학교,금오공과대학교,기존,본교,경북,경북 구미시,국립,주야간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7114        ,054-478-7100        ,www.kumoh.ac.kr,1206 ,7450 ,1306 
2017,일반대학원,금오공과대학교대학원,기존,본교,경북,경북 구미시,국립,주간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7014~7015   ,054-478-7020        ,cam.kumoh.ac.kr,204 ,230 ,197 
2017,특수대학원,금오공과대학교교육대학원,기존,본교,경북,경북 구미시,국립,야간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7014~7015   ,054-478-7020        ,edu.kumoh.ac.kr,50 ,30 ,25 
2017,특수대학원,금오공과대학교산업대학원,기존,본교,경북,경북 구미시,국립,야간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7014~7015   ,054-478-7020        ,tec.kumoh.ac.kr,78 ,87 ,75 
2017,특수대학원,금오공과대학교 컨설팅대학원,기존,본교,경북,경북 구미시,국립,주간,"경상북도 구미시 대학로 61 (양호동, 금오공과대학교)",39177,054-478-7018        ,054-478-7020        ,con.kumoh.ac.kr,32 ,17 ,12 
2017,대학교,목포대학교,기존,본교,전남,전남 무안군,국립,주간,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",58554,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,1576 ,9738 ,1681 
2017,일반대학원,목포대학교대학원,기존,본교,전남,전남 무안군,국립,주간,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",58554,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,297 ,336 ,262 
2017,특수대학원,목포대학교경영행정대학원,기존,본교,전남,전남 무안군,국립,야간,"전라남도 무안군 삼향읍 남악로 190 (남악리, 목포대학교교육지원센타)",58579,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,50 ,53 ,49 
2017,특수대학원,목포대학교 교육대학원,기존,본교,전남,전남 무안군,국립,주간,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",58554,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,170 ,174 ,124 
2017,특수대학원,목포대학교산업기술대학원,기존,본교,전남,전남 무안군,국립,야간,"전라남도 무안군 청계면 영산로 1666 (도림리, 목포대학교)",58554,061-450-2114        ,061-452-4793        ,www.mokpo.ac.kr,26 ,20 ,19 
2017,대학교,목포해양대학교,기존,본교,전남,전남 목포시,국립,주간,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",58628,061-240-7114        ,061-242-5176        ,www.mmu.ac.kr,691 ,2952 ,713 
2017,일반대학원,목포해양대학교대학원,기존,본교,전남,전남 목포시,국립,주간,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",58628,061-240-7114        ,061-242-5176        ,www.mmu.ac.kr,51 ,62 ,46 
2017,특수대학원,목포해양대학교해양산업대학원,기존,본교,전남,전남 목포시,국립,야간,"전라남도 목포시 해양대학로 91 (죽교동, 목포해양대학교)",58628,061-240-7114        ,061-242-5176        ,www.mmu.ac.kr,12 ,10 ,7 
2017,대학교,부경대학교,기존,본교,부산,부산 남구,국립,주야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-4114        ,051-629-5119 ,www.pknu.ac.kr,3270 ,25014 ,3607 
2017,일반대학원,부경대학교대학원,기존,본교,부산,부산 남구,국립,주간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-5191 ,051-629-5195,graduate.pknu.ac.kr,667 ,956 ,732 
2017,특수대학원,부경대학교 경영대학원,기존,본교,부산,부산 남구,국립,야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-5705,051-629-5710,cms.pknu.ac.kr/cbais/main.do,130 ,110 ,82 
2017,특수대학원,부경대학교 교육대학원,기존,본교,부산,부산 남구,국립,야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-5508,051-629-5514        ,pknuedu.pknu.ac.kr,200 ,267 ,166 
2017,특수대학원,부경대학교 국제대학원,기존,본교,부산,부산 남구,국립,야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,,,cms.pknu.ac.kr/gsis,70 ,75 ,62 
2017,특수대학원,부경대학교 산업대학원,기존,본교,부산,부산 남구,국립,야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-6047,,coe.pknu.ac.kr/sandae/index/index.asp,106 ,106 ,72 
2017,전문대학원,부경대학교 기술경영전문대학원,기존,본교,부산,부산 남구,국립,주간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-5656,051-629-5659,mot.pknu.ac.kr,39 ,42 ,37 
2017,특수대학원,부경대학교 글로벌수산대학원,기존,본교,부산,부산 남구,국립,주야간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-5806       ,5810,gsgf-k.pknu.ac.kr/00main/main.php,28 ,89 ,52 
2017,전문대학원,부경대학교 과학기술융합전문대학원,기존,본교,부산,부산 남구,국립,주간,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",48513,051-629-6862,051-629-6865,cms.pknu.ac.kr/sgsstc/main.do,30 ,11 ,9 
2017,대학교,부산대학교,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-512-0311        ,051-512-3368        ,www.pusan.ac.kr,4144 ,43623 ,4520 
2017,일반대학원,부산대학교 일반대학원,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1902      ,051-515-1902     ,www.graduate.pusan.ac.kr,2170 ,3288 ,2062 
2017,특수대학원,부산대학교 경영대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1652        ,051-581-3144       ,cobman.pusan.ac.kr/,149 ,242 ,161 
2017,특수대학원,부산대학교 교육대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1382        ,051-510-7672       ,www.gsedu.pusan.ac.kr,330 ,669 ,277 
2017,특수대학원,부산대학교 산업대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1391       ,051-514-0498        ,indu.pusan.ac.kr,123 ,157 ,106 
2017,특수대학원,부산대학교 행정대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-514-0480     ,051-515-6336        ,gspa.pusan.ac.kr,92 ,145 ,84 
2017,특수대학원,부산대학교 환경대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1391   ,051-514-0498        ,www.pegr.pusan.ac.kr,19 ,21 ,18 
2017,전문대학원,부산대학교 한의학전문대학원,기존,본교,경남,경남 양산시,국립,주간,"경상남도 양산시 물금읍 부산대학로 49 (범어리, 부산대학교양산캠퍼스)",50612,051-510-8403        ,051-510-8420        ,kmed.pusan.ac.kr,91 ,1066 ,83 
2017,전문대학원,부산대학교 국제전문대학원,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1663        ,051-581-7144        ,www.gsis.pusan.ac.kr,64 ,77 ,64 
2017,전문대학원,부산대학교 법학전문대학원,기존,본교,부산,부산 금정구,국립,주간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1574        ,051-515-8648        ,law.pusan.ac.kr,126 ,464 ,137 
2017,전문대학원,부산대학교 의학전문대학원,기존,본교,경남,경남 양산시,국립,주간,"경상남도 양산시 물금읍 부산대학로 49 (범어리, 부산대학교양산캠퍼스)",50612,051-510-8004        ,051-510-8026        ,medical.pusan.ac.kr,35 ,42 ,31 
2017,전문대학원,부산대학교 치의학전문대학원,기존,본교,경남,경남 양산시,국립,주간,"경상남도 양산시 물금읍 부산대학로 49 (범어리, 부산대학교양산캠퍼스)",50612,051-510-8206        ,051-510-8210        ,dent.pusan.ac.kr,126 ,1729 ,122 
2017,특수대학원,부산대학교 경제통상대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1654    ,051-510-7670        ,geit.pusan.ac.kr,63 ,69 ,57 
2017,특수대학원,부산대학교 기술창업대학원,기존,본교,부산,부산 금정구,국립,야간,"부산광역시 금정구 부산대학로63번길 2 (장전동, 부산대학교)",46241,051-510-1369,051-582-9833,http://technoent.pusan.ac.kr/,27 ,57 ,28 
2017,대학교,서울대학교,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-5114         ,02-885-5272         ,www.snu.ac.kr,3090 ,23214 ,3308 
2017,일반대학원,서울대학교 대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-5114         ,02-885-5272         ,http://www.snu.ac.kr/graduate-school,4305 ,7227 ,4079 
2017,전문대학원,서울대학교 국제대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-8505         ,02-879-1496   ,gsis.snu.ac.kr,80 ,338 ,142 
2017,전문대학원,서울대학교 보건대학원,기존,본교,서울,서울 관악구,국립대법인,주야간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-2708         ,02-762-9105         ,health.snu.ac.kr,96 ,260 ,96 
2017,전문대학원,서울대학교 행정대학원,기존,본교,서울,서울 관악구,국립대법인,주야간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-5603         ,02-882-3998         ,gspa.snu.ac.kr,149 ,387 ,229 
2017,전문대학원,서울대학교 환경대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-5642         ,02-886-7935         ,gses.snu.ac.kr,88 ,165 ,88 
2017,전문대학원,서울대학교 경영전문대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-2551      ,02-878-0101      ,gsb.snu.ac.kr,100 ,272 ,159 
2017,전문대학원,서울대학교 법학전문대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-7536      ,02-880-5560         ,law.snu.ac.kr,170 ,569 ,169 
2017,전문대학원,서울대학교 치의학대학원,기존,본교,서울,서울 종로구,국립대법인,주간,"서울특별시 종로구 대학로 103 (연건동, 서울대학교치과대학)",3080,02-740-8611         ,02-745-1907         ,dentistry.snu.ac.kr,90 ,443 ,67 
2017,전문대학원,서울대학교 의학대학원,폐교,본교,서울,서울 종로구,국립대법인,주간,"서울특별시 종로구 대학로 103 (연건동, 서울대학교 의과대학)",3080,02-740-8114         ,02-763-0962         ,medicine.snu.ac.kr, - , - , - 
2017,전문대학원,서울대학교 융합과학기술대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-9592         ,02-887-9003         ,gscst.snu.ac.kr,139 ,246 ,131 
2017,전문대학원,서울대학교 국제농업기술대학원,기존,본교,강원,강원 평창군,국립대법인,주간,"강원도 평창군 대화면 평창대로 1447-1 (신리, 서울대그린바이오과학기술연구원)",25354,033-339-5680,033-339-5680,http://greenbio.snu.ac.kr/main/?skin=1310,30 ,37 ,24 
2017,전문대학원,서울대학교 공학전문대학원,기존,본교,서울,서울 관악구,국립대법인,주간,"서울특별시 관악구 관악로 1 (신림동, 서울대학교)",8826,02-880-4116,,gsep.snu.ac.kr/,80 ,60 ,47 
2017,대학교,순천대학교,기존,본교,전남,전남 순천시,국립,주야간,"전라남도 순천시 중앙로 255 (석현동, 순천대학교)",57922,061-750-3114        ,,www.sunchon.ac.kr,1588 ,9084 ,1677 
2017,일반대학원,순천대학교일반대학원,기존,본교,전남,전남 순천시,국립,주간,"전라남도 순천시 중앙로 255 (석현동, 순천대학교)",57922,061-750-3132,,ggs.sunchon.ac.kr/web/ggs/home,255 ,236 ,187 
